Genome;classified_CPBay_Spr15G08_DNA.bac.ar;classified_CPBay_Spr15L08_DNA.bac.ar;classified_CPBay_Spr31G08_DNA.bac.ar;classified_CPBay_Spr31L08_DNA.bac.ar;classified_CPBay_Sum06G08_DNA.bac.ar;classified_CPBay_Sum06L08_DNA.bac.ar;classified_CPBay_Sum15G08_DNA.bac.ar;classified_CPBay_Sum15L08_DNA.bac.ar;classified_CPBay_Sum20G08_DNA.bac.ar;classified_CPBay_Sum27G08_DNA.bac.ar;classified_CPBay_Sum27L08_DNA.bac.ar;classified_DEBay_Spr_20_G08.bac.ar;classified_DEBay_Spr_20_L08.bac.ar;classified_DEBay_Spr_30_G08.bac.ar;classified_DEBay_Spr_30_L08.bac.ar;classified_DEBay_Sum_019_D_G08.bac.ar;classified_DEBay_Sum_019_D_L08.bac.ar;classified_DEBay_Sum_019_N_G08.bac.ar;classified_DEBay_Sum_019_N_L08.bac.ar;classified_DEBay_Sum_22_D_G08.bac.ar;classified_DEBay_Sum_22_D_L08.bac.ar;classified_DEBay_Sum_22_N_G08.bac.ar;classified_DEBay_Sum_22_N_L08.bac.ar;classified_DEBay_Sum_29_D_G08.bac.ar;classified_DEBay_Sum_29_D_L08.bac.ar;classified_DEBay_Sum_29_N_G08.bac.ar;classified_DEBay_Sum_29_N_L08.bac.ar
GCA-002687715_MAG_1;0;0;0;0;221.50871;0;0;0;0;0;0;0;0;0;0;3942.551;0;1405.341;2142.926;0;0;0;0;0;0;0;0
Gearchaeales_MAG_1;0;0;8711.854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gearchaeales_MAG_2;0;0;6128.082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gemmatales_MAG_1;0;0;0;0;1446.5199;51.3821;0;0;0;0;0;0;0;0;0;5902.7095;288.84866;2329.514;1667.7063;0;0;0;0;0;0;0;0
Gemmatimonadales_MAG_1;0;0;0;0;4224.68;4356.906;0;0;0;0;0;0;0;0;0;1379.2682;688.74615;762.42706;1544.4458;0;0;0;0;0;0;0;0
HIMB59_MAG_1;0;0;0;0;124.307045;178.05891;584.19745;878.0538;0;0;516.4323;0;0;0;0;0;0;0;0;1093.3998;2083.5657;1423.5729;3066.4775;0;763.9577;0;738.9767
HIMB59_MAG_2;0;0;0;0;628.6698;448.45786;24062.15;34984.492;20872.559;14048.813;23815.785;0;0;0;0;0;0;0;0;11659.706;16047.775;12281.572;19966.23;8533.992;23877.268;10730.07;23894.795
IMCC26256_MAG_1;0;0;0;0;215.25104;0;0;0;0;0;0;0;0;0;0;10994.934;0;3741.412;1536.4847;0;0;0;0;0;0;0;0
Kapabacteriales_MAG_1;0;0;0;0;0;0;5380.281;1712.9451;5291.193;697.7364;615.6383;0;0;0;0;0;0;0;0;1874.9471;137.04532;1352.2109;117.14442;343.22128;0;368.80853;85.24616
Kapabacteriales_MAG_2;0;0;0;0;19034.887;2072.8364;0;0;0;0;0;0;0;0;0;254.08116;0;2186.0146;0;0;0;0;0;0;0;0;0
Lentisphaerales_MAG_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142.52295;0;0;0;3576.448;2120.0193;2648.742;1207.525
Limnocylindrales_MAG_1;0;0;0;0;168.2946;0;0;0;0;0;0;0;0;0;0;19522.568;450.36832;6792.4775;2586.6448;0;0;0;0;0;0;0;0
Limnocylindrales_MAG_2;0;0;0;0;886.6575;1093.8969;0;0;0;0;0;0;0;0;0;9064.003;12804.016;6807.4644;16278.075;0;0;0;0;0;0;0;0
Marinisomatales_MAG_1;0;0;0;0;0;0;0;0;562.926;1054.4125;2113.7185;0;0;0;0;0;0;0;0;486.53464;197.26248;410.7819;248.02689;802.3926;1248.8911;1301.4402;1103.6183
Marinisomatales_MAG_2;0;0;0;0;0;0;6842.0083;5799.811;3239.8066;953.0811;1401.6641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107.14384
Marsarchaeales_MAG_1;0;0;27125.463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marsarchaeales_MAG_2;0;0;17380.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miltoncostaeales_MAG_1;0;0;0;0;527.8972;128.38588;0;0;0;0;0;0;0;0;0;14676.663;407.2048;1811.1571;1805.671;0;0;0;0;0;0;0;0
Mycobacteriales_MAG_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7917.337;513.90796;4491.8403;5024.9834;0;0;0;0;0;0;0;0
